4041,0,"Bcz in dis phn n0t copy ,cut,paste option and i dont snd vcard"
4045,0,Ek dm bkvas h internet to chlta nhi 
4045,1, Fb aaps opn nhi hota
4082,0,"Every thing is good,just a few more app's and zoom feature and then it get's perfect!"
4084,0,Improve performance storage data to save sms or others
4087,0,Because this mubil straking
4107,0,"Very poor phonebook, not working apps"
4124,0,Karna hp ini bagus
4138,0,"It's browsers too much slow than others,mainly fb"
4138,1,and another programmes are too much good
4139,0,Not a user friendly
4149,0,I have a nokia x
4149,1, But i throw in water
4149,2,because wifi is not working
4149,3,nokia is a frustrated company in the world
4172,0,It has everything a moderate user needs and it is a great phone but it needs apps at store!
4176,0,Nhung sau cai geme ung dung khong duoc xin giup do
4177,0,"Bco'z no mark option, some time do slowly, not catch the tower, many option is not thair"
4190,0,Nokia 215 doesnt come with but 201 supports the messenger
4202,0,All corect but not support game and vidio
4207,0,Bcoz its not running smothly like s40 series
4216,0,Super telefon godny polecenia z dobr? bateri?
4226,0,I want to no
4236,0,It is because it has internet which enable me to meet more people
4251,0,Not able to hear clearly
4274,0,I don't like this phone
4282,0,Lebih canggih di bandingkan ponsel nokia yang lain
4298,0,Not dawnlod over the 10 mb video
4303,0,Service is not good
4319,0,I just love it
4333,0,Opera mini error fetching file
4334,0,Nokia doesn't have at least 5 mb of inbuilt storage
4338,0,That is the score that i want
4349,0,New apps not sapot
4352,0,Karna suda cukup puas dgn produk ini
4355,0,Pt ca asa consider eu
4359,0,This is the best 
4360,0,Because every bit in d phone is interesting and enjoyable
4366,0,This is my best mobile ever that i had buy thanks nokia to all nokia family Zubair wadera
4369,0,Slaba kamera oz zelo slabe ?like
4374,0,Because i cant whatsapp with the phone
4375,0,I love the phone 215
4378,0,Brightness control is not enough and opera internet is not working properly
4381,0,My nokia 215 should be upgraded to support whatsapp application
4402,0,Because no youtube no 3gp and no java
4403,0,This phone battry timing only 24 hours
4403,1,it is not good timing
4403,2,i am not much use for call and SMS
4429,0,Whats aap not suport this devis
4436,0,Features are very poor
4450,0,Because internet faction is not good so i give this score
4451,0,"Facebook application problem, No photo zooming option"
4480,0,It's a nice mobile however many shortcomings are also there but still it's an awsome mobile
4481,0,This device is just a bad handset
4481,1," Because, there are many functions and settings are not supported in this device"
4481,2, Internet connection is not satisfactory at all to me and my friends
4481,3," If anybody buys this handset, he will be a fool like me"
4481,4, Comparatively Nokia112 is a handset one in a million and far far far better than it
4485,0,B/c this phone is very smart
4489,0,So it will have cheap and it have internet and facebook
4522,0,The phone is strong and simply with good internet connection
4522,1, But there should be room for applications like whatsapp; downloadable apps
4528,0,Becase it is very beutiful
4538,0,"Because i can,t use the app i downloaded"
4548,0,"I don't like this phn, cz i can't dwnld any java apps"
4551,0,"Because it has giving me all that i ever needed from a cell phoneLonglasting batteryFast browingGentle on fingerLoudspeakers,in fact! Everything is perfectly owkay!!!"
4579,0,Cant download application and game
4580,0,Because d phone is good
4592,0,Its have low memory
4605,0,Dt nay ko co ung dung zalo cug chang xem video va tai hinh tren mang ve duoc thj qua te roj
4610,0,Please provide whatsapp for this phone 
4610,1, And give a link to download it
4636,0,It z difficult to operate
4660,0,I liked it because it is simple and smart but games are not supporting
4661,0,It is okay but the battery is not strong enough to stand my usage
4664,0,This is multimedia handset
4664,1, But this phone does not support for uc browser
4664,2, And other useful application
4683,0,Bcoz it doesn't have whatsapp app
4692,0,Because some time facebook app does not start and stop
